date,code,name,family_id,close,ret_1,ret_3,ret_5,ret_10,ret_20,ret_60,vol_5,vol_20,vol_60,ma_gap_5_20,ma_gap_20_60,drawdown_20,drawdown_60,amount_log,amount_z20,turnover_rate,amplitude,intraday_range,volume_chg_5,liquidity_shock_20,month_sin,month_cos,days_since_start,family_CSI_1000,family_CSI_2000,family_CSI_300,family_CSI_500,family_CSI_800,family_CSI_A100,family_CSI_A50,family_CSI_A500,fwd_ret_5,is_trainable
2024-07-30,510300,沪深300ETF华泰柏瑞,CSI_300,3.22,-0.007092198581560183,-0.008620689655172376,-0.02127659574468077,-0.0359281437125748,-0.019786910197869045,-0.06313645621181252,0.004992134468790753,0.008216606278004482,0.006556772451707043,-0.012314147587339064,-0.01702598230652763,-0.0498672174682796,-0.07284768211920523,0.0,,,0.8942337341967288,0.009006211180124197,0.65854291147785,,-0.4999999999999997,-0.8660254037844388,1897,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0071428571428572285,True
2024-07-30,510310,沪深300ETF易方达,CSI_300,3.098,-0.006414368184733843,-0.007051282051282137,-0.020859671302149274,-0.035491905354919195,-0.019620253164557067,-0.06348246674727931,0.005950736883644294,0.008294287049738894,0.006645907282590362,-0.012330066392665096,-0.017254235883839453,-0.048525798525798525,-0.07356459330143539,0.0,,,0.9621552277100786,0.009683666881859345,1.9150746365523115,,-0.4999999999999997,-0.8660254037844388,1897,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.008392511297611316,True
2024-07-30,510500,中证500ETF南方,CSI_500,4.619,-0.0008652390222799733,0.008955875928352786,-0.004740357681534246,-0.04030750051942655,-0.04880560131795719,-0.1404912541868254,0.01071424823364516,0.012227684046587884,0.0103934776843176,-0.0262165957491739,-0.055201606735520325,-0.04841367943963748,-0.14510457153433276,0.0,,,1.535799264546825,0.01537129248755136,-0.04237829834089446,,-0.4999999999999997,-0.8660254037844388,1897,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.010608356787183526,True
2024-07-30,512100,中证1000ETF南方,CSI_1000,1.831,0.004388370817334009,0.016093229744728044,0.0027382256297918683,-0.028131634819532847,-0.04085908852802522,-0.156221198156682,0.01143170326116471,0.014326195946040872,0.013289218212753076,-0.02182278072276167,-0.06466605703163686,-0.040356394129979045,-0.1608615948670944,0.0,,,2.029621503017013,0.020207536865101117,-0.12122827989420637,,-0.4999999999999997,-0.8660254037844388,1897,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00983069361004918,True
2024-07-30,512500,中证500ETF华夏,CSI_500,2.571,-0.0011655011655010705,0.008235294117647118,-0.004260263361735017,-0.03887850467289711,-0.047424972211930205,-0.13608870967741926,0.01001423521706772,0.01186458722669011,0.00998089531339488,-0.025453165037486958,-0.05361387709644383,-0.04671857619577302,-0.1412825651302605,0.0,,,1.4374514374514344,0.01439128743679499,0.29634083333714356,,-0.4999999999999997,-0.8660254037844388,1897,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.010112796577207206,True
2024-07-31,159531,中证2000ETF南方,CSI_2000,0.786,0.03693931398416894,0.04939919893190936,0.07523939808481539,0.04521276595744683,0.006402048655569814,-0.12374581939799334,0.014260208982876861,0.01868687425397842,0.01576995601321518,-0.0029031406703615703,-0.06261210184517052,0.0,-0.1227678571428571,0.0,,,3.9577836411609537,0.038167938931297746,-0.16953437705831687,,-0.4999999999999997,-0.8660254037844388,317,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021628498727735423,True
2024-07-31,159601,中证A50ETF华夏,CSI_A50,0.739,0.02071823204419898,0.0040760869565217295,-0.0026990553306343035,-0.030183727034120755,-0.015978695073235683,-0.036505867014341664,0.012873476949653281,0.009269725624159163,0.007705823977018385,-0.020566239316239243,-0.007028245590770532,-0.036505867014341664,-0.05134788189987172,0.0,,,2.4861878453038697,0.024357239512855233,0.47406893225727353,,-0.4999999999999997,-0.8660254037844388,996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0378890392422192,True
2024-07-31,159627,中证A100ETF华夏,CSI_A100,0.928,0.020902090209020896,0.006507592190889477,0.005417118093174356,-0.01798941798941789,0.002159827213822796,-0.04526748971193406,0.011687432580962862,0.0090058997535564,0.006470127708556107,-0.012733036050072477,-0.014385568538849758,-0.030303030303030165,-0.0491803278688524,0.0,,,2.310231023102312,0.022629310344827604,-0.4289947766762605,,-0.4999999999999997,-0.8660254037844388,609,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.03125,True
2024-07-31,159800,中证800ETF鹏华,CSI_800,1.001,0.023517382413087873,0.01213346814964611,0.014184397163120366,-0.010869565217391464,,,0.013052757972827234,0.010825891259311349,0.010825891259311349,-0.014081690945444092,0.0,-0.020547945205479534,-0.020547945205479534,0.0,,,3.0674846625766783,0.02997002997002989,0.27127594163899804,,-0.4999999999999997,-0.8660254037844388,19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.026973026973026837,True
2024-07-31,159845,中证1000ETF华夏,CSI_1000,1.993,0.04127481713688619,0.042364016736401666,0.059542796384901786,0.021004098360655865,0.009113924050632827,-0.11814159292035387,0.017995612150511906,0.016612916324981058,0.013853937836419647,-0.010200927357032485,-0.059532269526455184,0.0,-0.12008830022075057,0.0,,,4.493207941483808,0.04315102860010039,1.203009217365552,,-0.4999999999999997,-0.8660254037844388,1218,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03311590566984446,True
