index_component_type,secucode,stock_code,stock_name,close_price,change_rate,trade_date,industry,region,weight,eps,roe,free_cap,pe,source
7,301371.SZ,301371,敷尔佳,28.16,-1.915708812261,2026-06-03 00:00:00,化妆品,哈尔滨市,,0.33,2.97,21.91,21.34,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,301325.SZ,301325,曼恩斯特,43.65,-3.064623584277,2026-06-03 00:00:00,电池,深圳市,,-0.28,-1.43,62.81,-38.34,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,688252.SH,688252,天德钰,20.88,-1.694915254237,2026-06-03 00:00:00,半导体,深圳市,,0.11,1.89,85.4,46.38,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,301155.SZ,301155,海力风电,57.0,-4.362416107383,2026-06-03 00:00:00,风电设备,南通市,,0.06,0.23,70.26,231.29,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,301127.SZ,301127,武汉天源,14.12,5.530642750374,2026-06-03 00:00:00,环境治理,武汉市,,0.07,1.31,92.38,53.21,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,688306.SH,688306,均普智能,8.93,-1.107419712071,2026-06-03 00:00:00,自动化设备,宁波市,,-0.03,-1.89,109.69,-79.93,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,688062.SH,688062,迈威生物,27.39,-3.928446159242,2026-06-03 00:00:00,化学制药,上海市,,-0.61,-106.04,55.92,-12.64,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,688400.SH,688400,凌云光,55.39,1.076642335766,2026-06-03 00:00:00,专用设备,北京市,,0.43,4.1,255.34,33.22,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,688262.SH,688262,国芯科技,37.39,2.974387221151,2026-06-03 00:00:00,半导体,苏州市,,-0.15,-2.51,125.63,-64.54,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,301500.SZ,301500,飞南资源,26.71,-0.927299703264,2026-06-03 00:00:00,环境治理,肇庆市,,0.7239,8.14,38.48,9.26,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
