stock_code,stock_name,family_ids,display_names,industry,region,component_rank_best,index_weight_pct_max,component_free_cap_max,component_pe,component_eps,component_roe_pct,component_trade_date,source_etf_codes,source_etf_names,source_etf_dates,source_etf_pred_fwd_ret_5_best,source_etf_pred_rank_best,source_etf_signal_reasons
601138,工业富联,CSI_300;CSI_800,沪深300;中证800,消费电子,深圳市,13.0,1.17,14696.53,34.68,0.53,6.18,2026-06-05 00:00:00,510310;159800,沪深300ETF易方达;中证800ETF鹏华,2026-06-05,0.010441676245171,5.0,pred>= 0.0000
002384,东山精密,CSI_300;CSI_800,沪深300;中证800,元件,苏州市,15.0,1.14,3069.45,91.35,0.61,5.05,2026-06-05 00:00:00,510310;159800,沪深300ETF易方达;中证800ETF鹏华,2026-06-05,0.010441676245171,5.0,pred>= 0.0000
688008,澜起科技,CSI_300;CSI_800;CSI_A100,沪深300;中证800;中证A100,半导体,上海市,16.0,1.11,2744.43,86.32,0.73,5.39,2026-06-05 00:00:00,510310;159800;159627,沪深300ETF易方达;中证800ETF鹏华;中证A100ETF华夏,2026-06-05,0.010441676245171,5.0,pred>= 0.0000
688981,中芯国际,CSI_300;CSI_800,沪深300;中证800,半导体,境外,18.0,1.01,2547.44,187.5,0.17,0.9,2026-06-05 00:00:00,510310;159800,沪深300ETF易方达;中证800ETF鹏华,2026-06-05,0.010441676245171,5.0,pred>= 0.0000
600030,中信证券,CSI_300,沪深300,证券Ⅱ,深圳市,21.0,0.93,3125.72,9.31,0.67,3.46,2026-06-05 00:00:00,510310,沪深300ETF易方达,2026-06-05,0.010441676245171,5.0,pred>= 0.0000
603259,药明康德,CSI_300,沪深300,医疗服务,无锡市,24.0,0.89,2388.2,15.48,1.59,5.68,2026-06-05 00:00:00,510310,沪深300ETF易方达,2026-06-05,0.010441676245171,5.0,pred>= 0.0000
603993,洛阳钼业,CSI_A100,中证A100,工业金属,洛阳市,20.0,,3176.13,12.54,0.36,9.06,2026-06-05 00:00:00,159627,中证A100ETF华夏,2026-06-05,0.0085343344005502,7.0,pred>= 0.0000
600276,恒瑞医药,CSI_A100,中证A100,化学制药,连云港市,21.0,,3003.23,34.23,0.34,4.15,2026-06-05 00:00:00,159627,中证A100ETF华夏,2026-06-05,0.0085343344005502,7.0,pred>= 0.0000
600150,中国船舶,CSI_A100,中证A100,航海装备Ⅱ,上海市,25.0,,2705.46,14.0,0.642,3.3,2026-06-05 00:00:00,159627,中证A100ETF华夏,2026-06-05,0.0085343344005502,7.0,pred>= 0.0000
600487,亨通光电,CSI_500;CSI_800,中证500;中证800,通信设备,苏州市,1.0,1.83,2350.31,53.62,0.4563,3.44,2026-06-05 00:00:00,510500;159800,中证500ETF南方;中证800ETF鹏华,2026-06-05,0.0085147430162853,8.0,pred>= 0.0000
